epoch,perplexity
0.0,31460.984375
0.1,25488.380859375
0.2,22216.86328125
0.3,19621.55859375
0.4,17417.72265625
0.5,15566.9814453125
0.6,13973.6484375
0.7,12657.2060546875
0.8,11539.3310546875
0.9,10529.8525390625
1.0,9656.388671875
1.0,4211.74169921875
1.1,3788.209716796875
1.2,3688.85302734375
1.3,3490.93408203125
1.4,3302.569580078125
1.5,3127.624267578125
1.6,2975.689208984375
1.7,2828.321533203125
1.8,2712.60546875
1.9,2608.5791015625
2.0,2502.0908203125
2.0,1698.34716796875
2.1,1670.8978271484375
2.2,1586.85400390625
2.3,1554.2860107421875
2.4,1504.78564453125
2.5,1436.7738037109375
2.6,1380.107421875
2.7,1348.5455322265625
2.8,1312.7540283203125
2.9,1266.1104736328125
3.0,1236.5340576171875
3.0,855.7868041992188
3.1,1025.4052734375
3.2,945.1337890625
3.3,863.8785400390625
3.4,851.1847534179688
3.5,830.4733276367188
3.6,808.0430908203125
3.7,784.3067016601562
3.8,774.7823486328125
3.9,745.9658203125
4.0,730.274169921875
4.0,866.6102294921875
